id_Livre;Titre;Type_Ouvrage
1;Une brève histoire du temps;1
2;Navigation d'Ulysse;1
3;Feu Mathias Pascal;1
4;Fumée rouge;1
6;Voyage au bout de la nuit;1
7;Le guide Marabout du Judo;2
8;Métapsychologie;1
9;Se;2
10;Tolérance zéro;1
11;Le meilleur des mondes;1
12;Bel-Ami;1
13;Les oreilles rouges;1
14;La chute;1
15;Français-Allemand;2
16;Alex;1
17;The joy luck club;1
18;Le cœur conscient;1
19;La part du vent;1
20;Jonathan Livingston Seagull;1
21;Educating Rita;1
22;Lies of silence;1
23;Nuits d'enfer;1
24;Enemies;1
25;Maria, fille de Flandre;1
26;Aphrodite;1
27;Le pot au noir;1
28;Le grand Meaulnes;1
29;Corps et âmes;1
30;La Bible;1
31;La crevasse des maquisards;1
32;Tristan et Iseult;1
33;Le gambit des étoiles;1
34;Stamps & stories;2
35;Skinwalkers;1
36;The Christmas books;1
37;A Christmas Carol;1
38;La dixième prophétie;1
39;L'homme qui rétrécit;1
40;Histoires extraordinaires;1
41;Nouvelles histoires extraordinaires;1
42;La pureté dangereuse;1
43;Zazie dans le métro;1
44;La visite de la vieille dame;1
45;Le Colonel Chabert;1
46;Phèdre;1
47;En attendant Godot;1
48;Poena Damni;1
49;Le prophète;1
50;Croix du sud;1
51;Les travaux d'Hercule;1
52;Histoires grotesques et sérieuses;1
53;La main froide;1
54;training cerveau;2
55;La condition humaine;1
56;Misery;1
57;Shining;1
58;Le parfum;1
59;Phèdre;1
60;Les fleurs du mal;1
61;L'écume des jours;1
62;Of mice and men;1
63;Rhinocéros;1
64;Mémoires d'Hadrien;1
65;Les Confessions;1
66;Boule de Suif;1
67;Plain Tales from the Hills;1
68;Le livre d'or de la poésie française;1
69;Tristan et Iseult;1
70;Oliver Twist;1
71;Le théorème du perroquet;1
72;Français-Anglais;2
73;Pocket Guide to PASCAL;2
74;Chroniques martiennes;1
75;L'amour fou;1
76;Trois hommes à abattre;1
77;Justine ou Les malheurs de la vertu;1
78;Poésies;1
79;Objectif: Apocalypse;1
80;Les liaisons dangereuses;1
81;Pensées;1
82;Fahrenheit 451;1
83;Les petits enfants du siècle;1
84;Le diable et le bon dieu;1
85;Eugénie Grandet;1
86;Bel-Ami;1
87;La bête humaine;1
88;Diderot & D'Alembert;2
89;Le dictionnaire des synonymes et des contraires;2
90;Atlas compact universel;2
91;Atlas encyclopédique mondial;1
92;Le petit Larousse illustré 2012;2
93;Le Robert méthodique;2
94;Le petit Robert micro;2
95;Arbres et arbustes;2
96;Oxymore mon amour!;2
97;Les 50 plus grandes théories en psychologie;2
98;Les 50 plus grandes théories économiques;2
99;Les 50 plus grands aspects de l'anatomie du corps humain;2
100;Les 50 plus grandes téories scientifiques;2
101;Les 50 légendes les plus célébres de la mythologie;2
102;Les grandes théories de Hawking;2
103;Les grandes théories d'Einstein;2
104;Les 50 plus grandes théories mathématiques;2
105;Les 50 plus grandes théories philosophiques;2
106;Bricoler facile;2
107;Vous n'en croirez pas vos yeux;2
108;A hurler de rire;1
109;Cours de conduite sportive de la moto;2
110;L'Officiel du Scrabble;2
111;Elementary Linear Algebra;2
112;Mécanique quantique;2
113;Mécanique quantique;2
114;Programmation en Assembleur;2
115;Mathématiques pour informaticiens;2
116;Mécanique générale;2
117;Introduction à l'analyse numérique;2
118;L'empire du temps;1
119;Cours d'algèbre;2
120;Cours d'Analyse;2
121;Cours d'Analyse;2
122;Cours d'Analyse;2
123;Cristallographie;2
124;Physique statistique;2
125;Physique des solides;2
126;Heat and Mass Transfer;2
127;J'ai recommencé à fumer;2
128;La théorie de la relativité restreinte et générale;1
